genus,species,BPBM,svl (mm),meas,number,label,mean,min,max,angle,length,pixels,finger width (mm),toe width (mm),f/t,ant width (mm),pos width (mm),a/p
Oreophryne,anamiatoi,33769,29.4,10mm,13,IMG_5079.jpg,359,168.906,17.786,244.795,0.96,358.05,2.458399665,1.909007122,1.287789677,2.431162435,2.007091779,1.211286131
,,,,finger,14,IMG_5079.jpg,89,120.415,88.556,163.309,-21.318,88.023,,,,,,
,,,,toe,15,IMG_5079.jpg,69,128.491,84.333,226.761,-159.444,68.352,,,,,,
,,,,10mm,13,IMG_5096.jpg,475,195.265,25.513,252.473,-8.746,473.506,,,,,,
,,,,anterior width,14,IMG_5096.jpg,116,153.099,142.566,162.639,-7.989,115.117,,,,,,
,,,,posterior width,15,IMG_5096.jpg,96,149.397,125.148,163.715,-8.471,95.037,,,,,,
Auparoparo,penelopeia,42016,22.8,10mm,1,IMG_4945.jpg,439,163.82,10.621,234.281,178.823,438.092,1.415958292,1.099449431,1.287879417,1.598677734,0.9292116743,1.72046669
,,,,finger,2,IMG_4945.jpg,63,96.462,82.333,107.849,-178.152,62.032,,,,,,
,,,,toe,3,IMG_4945.jpg,49,128.486,92.833,169,-41.634,48.166,,,,,,
,,,,10mm,16,IMG_4952.jpg,583,187.244,37.134,246.667,-179.409,582.031,,,,,,
,,,,anterior width,17,IMG_4952.jpg,94,127.276,100.925,142.355,-178.152,93.048,,,,,,
,,,,posterior width,18,IMG_4952.jpg,55,180.578,169.222,189.889,-176.82,54.083,,,,,,
Auparoparo,penelopeia,42015,22.2,10mm,4,IMG_4945.jpg,433,179.822,25.667,237.444,178.939,432.074,1.538694761,1.068659535,1.439836271,1.87085258,0.9352026543,2.000478261
,,,,finger,5,IMG_4945.jpg,67,119.276,104.95,195.333,-158.839,66.483,,,,,,
,,,,toe,6,IMG_4945.jpg,47,125.595,106.26,138.561,-162.35,46.174,,,,,,
,,,,10mm,19,IMG_4955.jpg,493,180.029,25.257,247.52,-169.101,491.872,,,,,,
,,,,anterior width,20,IMG_4955.jpg,93,144.321,111.449,171.333,178.755,92.022,,,,,,
,,,,posterior width,21,IMG_4955.jpg,47,164.915,157.667,172,180,46,,,,,,
Auparoparo,penelopeia,42014,21,10mm,7,IMG_4946.jpg,415,153.975,47.145,215.638,-178.34,414.174,1.39494512,1.018943729,1.369010947,1.667707434,1.252147175,1.331878126
,,,,finger,8,IMG_4946.jpg,59,110.83,66.667,160.306,-156.541,57.775,,,,,,
,,,,toe,9,IMG_4946.jpg,43,124.126,105.031,159.39,166.293,42.202,,,,,,
,,,,10mm,22,IMG_4956.jpg,528,196.099,38.804,236.487,-176.736,526.855,,,,,,
,,,,anterior width,23,IMG_4956.jpg,89,115.659,79.333,135.143,168.179,87.864,,,,,,
,,,,posterior width,24,IMG_4956.jpg,67,86.698,60.333,102.626,165.964,65.97,,,,,,
Auparoparo,penelopeia,42017,20.8,10mm,10,IMG_4947.jpg,400,173.843,41.19,240.739,-0.862,399.045,1.401997268,0.9591650065,1.461685173,1.399953816,1.229072855,1.13903241
,,,,finger,11,IMG_4947.jpg,57,117.893,69.667,249.286,151.144,55.946,,,,,,
,,,,toe,12,IMG_4947.jpg,39,116.26,100.985,169,-160.145,38.275,,,,,,
,,,,10mm,25,IMG_4961.jpg,573,173.077,44.532,250.215,-81.955,571.626,,,,,,
,,,,anterior width,26,IMG_4961.jpg,81,127.7,107.733,140.042,-91.432,80.025,,,,,,
,,,,posterior width,27,IMG_4961.jpg,71,112.552,69.429,139.876,-94.899,70.257,,,,,,
Auparoparo,penelopeia,42018,22.5,10mm,13,IMG_4949.jpg,421,162.416,8.667,238,180,420,1.714952381,1.128880952,1.519161411,1.738443675,1.201325025,1.447105187
,,,,finger,14,IMG_4949.jpg,73,96.125,60.389,126.667,178.409,72.028,,,,,,
,,,,toe,15,IMG_4949.jpg,48,125.349,97.662,229.908,152.354,47.413,,,,,,
,,,,10mm,28,IMG_4964.jpg,692,138.677,27.684,225.425,7.989,690.704,,,,,,
,,,,anterior width,29,IMG_4964.jpg,121,148.436,106.14,176.295,-12.995,120.075,,,,,,
,,,,posterior width,30,IMG_4964.jpg,84,163.801,150.365,178.558,-12.529,82.976,,,,,,
Auparoparo,insulana,16547,21.8,10mm,1,IMG_4965.jpg,381,194.323,32.8,254.667,0.302,380.005,1.256878199,0.9270404337,1.355796525,1.885402721,1.243650364,1.516023133
,,,,finger,2,IMG_4965.jpg,49,117.161,90,152.028,169.749,47.762,,,,,,
,,,,toe,3,IMG_4965.jpg,36,103.853,71.476,134.667,-173.48,35.228,,,,,,
,,,,10mm,1,IMG_4977.jpg,422,154.744,22.322,220.233,169.33,421.284,,,,,,
,,,,anterior width,2,IMG_4977.jpg,80,101.465,87,110.809,169.114,79.429,,,,,,
,,,,posterior width,3,IMG_4977.jpg,53,116.224,101.667,122.742,166.759,52.393,,,,,,
Auparoparo,insulana,16546,21.4,10mm,4,IMG_4970.jpg,433,174.271,16.48,241.204,178.674,432.116,1.144993474,0.9187116422,1.246303433,1.450789852,1.266424395,1.145579521
,,,,finger,5,IMG_4970.jpg,50,135.818,96.226,178.389,-165.964,49.477,,,,,,
,,,,toe,6,IMG_4970.jpg,41,115.735,99.733,167.667,130.914,39.699,,,,,,
,,,,10mm,4,IMG_4980.jpg,501,164.15,47.494,218.072,158.518,499.714,,,,,,
,,,,anterior width,5,IMG_4980.jpg,73,135.827,118.917,152.694,155.556,72.498,,,,,,
,,,,posterior width,6,IMG_4980.jpg,64,152.919,135.857,166.864,148.57,63.285,,,,,,
Auparoparo,insulana,16549,16.9,10mm,7,IMG_4973.jpg,501,179.922,17.466,253.065,175.179,499.768,0.8413503866,0.5286452914,1.591521575,1.539136302,1.087381916,1.415451443
,,,,finger,8,IMG_4973.jpg,43,112.029,80.54,147.667,-177.274,42.048,,,,,,
,,,,toe,9,IMG_4973.jpg,27,109.484,90.667,132.308,-60.524,26.42,,,,,,
,,,,10mm,7,IMG_4983.jpg,623,149.979,18.309,222.126,162.613,622.44,,,,,,
,,,,anterior width,8,IMG_4983.jpg,97,107.782,87.711,127.845,166.109,95.802,,,,,,
,,,,posterior width,9,IMG_4983.jpg,69,148.169,127.323,227.635,167.196,67.683,,,,,,
Auparoparo,insulana,16119,23.3,10mm,10,IMG_4974.jpg,497,164.291,51.333,238.333,180,496,1.429032258,0.9752822581,1.465249928,1.892753213,1.242647328,1.523162019
,,,,finger,11,IMG_4974.jpg,72,121.609,92,244.383,-163.61,70.88,,,,,,
,,,,toe,12,IMG_4974.jpg,49,131.423,114,147.75,150.255,48.374,,,,,,
,,,,10mm,13,IMG_4987.jpg,630,166.851,28.984,224.977,159.316,628.513,,,,,,
,,,,anterior width,14,IMG_4987.jpg,120,115.611,101.661,129.487,163.393,118.962,,,,,,
,,,,posterior width,15,IMG_4987.jpg,79,123.095,110.994,133.13,166.675,78.102,,,,,,
Auparoparo,insulana,16548,21.3,10mm,13,IMG_4976.jpg,488,176.232,37.687,236.446,-2.827,486.592,1.22361239,0.8922670328,1.371352235,1.83687917,1.41421399,1.298869325
,,,,finger,14,IMG_4976.jpg,61,122.746,91.111,177.667,-172.278,59.54,,,,,,
,,,,toe,15,IMG_4976.jpg,44,174.769,86.539,251.544,-151.074,43.417,,,,,,
,,,,10mm,10,IMG_4990.jpg,569,158.228,19.251,220.948,-15.945,567.849,,,,,,
,,,,anterior width,11,IMG_4990.jpg,105,107.151,83.667,130.231,175.601,104.307,,,,,,
,,,,posterior width,12,IMG_4990.jpg,81,83.733,65.917,97.358,-5.001,80.306,,,,,,
Auparoparo,phoebe,39522,25.3,10mm,1,IMG_4991.jpg,425,192.076,35.591,252.164,177.839,424.302,1.987004539,1.520096535,1.307156811,1.754201653,1.34911514,1.30026089
,,,,finger,2,IMG_4991.jpg,85,111.48,59,126.565,157.694,84.309,,,,,,
,,,,toe,3,IMG_4991.jpg,65,119.965,108.583,133.792,-172.875,64.498,,,,,,
,,,,10mm,1,IMG_5004.jpg,376,180.44,28.667,234.793,164.852,375.031,,,,,,
,,,,anterior width,2,IMG_5004.jpg,67,114.44,97.502,128.758,160.463,65.788,,,,,,
,,,,posterior width,3,IMG_5004.jpg,52,143.448,135.667,150.001,161.565,50.596,,,,,,
Auparoparo,phoebe,39521,27.7,10mm,4,IMG_4993.jpg,418,183.011,18.149,250.065,0.824,417.043,2.061154365,1.669731898,1.234422345,2.742335279,1.330047051,2.061833284
,,,,finger,5,IMG_4993.jpg,87,129.491,80.09,218.391,150.751,85.959,,,,,,
,,,,toe,6,IMG_4993.jpg,71,124.603,106.51,158.87,-167.56,69.635,,,,,,
,,,,10mm,4,IMG_5007.jpg,358,208.11,48.507,252.949,-12.633,356.634,,,,,,
,,,,anterior width,5,IMG_5007.jpg,99,158.995,128.195,177.013,-16.026,97.801,,,,,,
,,,,posterior width,6,IMG_5007.jpg,48,188.1,183.064,193,161.565,47.434,,,,,,
Auparoparo,phoebe,39523,25,10mm,7,IMG_4994.jpg,409,93.32,5,140.157,-1.685,408.176,1.928604328,1.399886324,1.377686384,2.220107945,1.218415549,1.822127062
,,,,finger,8,IMG_4994.jpg,80,126.524,75.333,173.107,154.411,78.721,,,,,,
,,,,toe,9,IMG_4994.jpg,58,136.596,124.228,167.632,175.986,57.14,,,,,,
,,,,10mm,7,IMG_5009.jpg,457,129.132,78,180.667,178.493,456.158,,,,,,
,,,,anterior width,8,IMG_5009.jpg,102,148.224,124.66,168.934,170.91,101.272,,,,,,
,,,,posterior width,9,IMG_5009.jpg,57,175.887,165.554,184.5,171.724,55.579,,,,,,
Auparoparo,phoebe,39517,24.5,10mm,10,IMG_5001.jpg,381,155.162,17.635,239.105,-2.411,380.337,1.682718221,1.4285226,1.177943017,1.96943911,1.277647176,1.541457726
,,,,finger,11,IMG_5001.jpg,65,108.436,49.667,188,180,64,,,,,,
,,,,toe,12,IMG_5001.jpg,55,181.479,125.444,253.037,173.66,54.332,,,,,,
,,,,10mm,10,IMG_5015.jpg,605,190.197,34.18,253,168.541,604.04,,,,,,
,,,,anterior width,11,IMG_5015.jpg,120,135.048,114.078,153.539,153.004,118.962,,,,,,
,,,,posterior width,12,IMG_5015.jpg,78,149.268,103.953,254.92,148.782,77.175,,,,,,
Auparoparo,phoebe,39526,26.7,10mm,13,IMG_5002.jpg,406,157.378,18.496,213.074,-179.576,405.011,1.690719511,1.275570293,1.325461655,1.795419266,1.419148699,1.265138224
,,,,finger,14,IMG_5002.jpg,69,107.074,79.099,128.313,151.189,68.476,,,,,,
,,,,toe,15,IMG_5002.jpg,53,127.583,108.282,167.333,-165.426,51.662,,,,,,
,,,,10mm,13,IMG_5016.jpg,531,195.805,26.452,250.864,174.806,530.177,,,,,,
,,,,anterior width,14,IMG_5016.jpg,96,143.071,125.793,151.6,176.386,95.189,,,,,,
,,,,posterior width,15,IMG_5016.jpg,76,135.936,119.04,162.16,175.426,75.24,,,,,,
Auparoparo,picticrus,18146,27.8,10mm,1,IMG_5027.jpg,430,151.968,39.333,246.165,-1.202,429.094,2.578339478,1.703822472,1.513267679,2.339976787,1.465808259,1.59637304
,,,,finger,2,IMG_5027.jpg,112,122.219,86.2,239.916,167.471,110.635,,,,,,
,,,,toe,3,IMG_5027.jpg,74,121.149,73,156.749,-176.864,73.11,,,,,,
,,,,10mm,1,IMG_5034.jpg,642,170.379,2.86,249.53,-175.437,641.032,,,,,,
,,,,anterior width,2,IMG_5034.jpg,151,159.378,113,179.894,163.74,150,,,,,,
,,,,posterior width,3,IMG_5034.jpg,95,173.249,158.773,182.386,163.301,93.963,,,,,,
Auparoparo,picticrus,18145,29.2,10mm,4,IMG_5024.jpg,436,170.557,16.83,228.492,177.63,435.372,2.205125732,1.378315555,1.599870017,2.754824772,1.569625178,1.755084469
,,,,finger,5,IMG_5024.jpg,97,104.519,56.594,144.375,179.403,96.005,,,,,,
,,,,toe,6,IMG_5024.jpg,61,130.595,76.9,186.333,-179.045,60.008,,,,,,
,,,,10mm,4,IMG_5038.jpg,489,134.35,91.325,187.17,-100.62,488.365,,,,,,
,,,,anterior width,5,IMG_5038.jpg,136,115.313,90.667,137.556,-101.143,134.536,,,,,,
,,,,posterior width,6,IMG_5038.jpg,78,137.678,122.405,153.13,-105.124,76.655,,,,,,
Auparoparo,picticrus,18130,27,10mm,7,IMG_5025.jpg,431,174.731,21.333,236.536,0.266,430.005,2.23253218,1.52016837,1.468608493,2.072932327,1.550252488,1.337157878
,,,,finger,8,IMG_5025.jpg,97,146.131,70.667,238.333,180,96,,,,,,
,,,,toe,9,IMG_5025.jpg,66,170.098,143.667,217,-29.31,65.368,,,,,,
,,,,10mm,7,IMG_5041.jpg,727,193.009,89.89,229.481,-82.405,726.372,,,,,,
,,,,anterior width,8,IMG_5041.jpg,152,150.612,119.596,179.851,-106.991,150.572,,,,,,
,,,,posterior width,9,IMG_5041.jpg,114,173.778,145.765,240.058,-109.722,112.606,,,,,,
Auparoparo,picticrus,18125,26.3,10mm,10,IMG_5029.jpg,457,170.036,26.93,249,0.503,456.018,1.448144591,1.207890917,1.198903453,1.998968389,1.29817316,1.539831858
,,,,finger,11,IMG_5029.jpg,67,147.376,113.667,159.256,-32.005,66.038,,,,,,
,,,,toe,12,IMG_5029.jpg,56,165.116,120,235.466,-164.197,55.082,,,,,,
,,,,10mm,10,IMG_5043.jpg,586,197.633,39.834,253.333,2.349,585.492,,,,,,
,,,,anterior width,11,IMG_5043.jpg,118,138.223,115.436,159.615,1.469,117.038,,,,,,
,,,,posterior width,12,IMG_5043.jpg,77,183.921,169.544,195,0.754,76.007,,,,,,
Auparoparo,picticrus,18163,26.3,10mm,13,IMG_5032.jpg,553,183.689,32.725,240.333,0.623,552.033,1.612620985,1.222191427,1.319450414,2.023974064,1.316448374,1.537450388
,,,,finger,14,IMG_5032.jpg,90,146.352,92.208,195.937,-141.843,89.022,,,,,,
,,,,toe,15,IMG_5032.jpg,68,165.107,126.162,214.811,-11.976,67.469,,,,,,
,,,,10mm,13,IMG_5045.jpg,627,209.726,42.082,253.31,175.601,625.843,,,,,,
,,,,anterior width,14,IMG_5045.jpg,128,149.28,117.645,167.336,174.109,126.669,,,,,,
,,,,posterior width,15,IMG_5045.jpg,83,178.832,166.024,185.309,174.428,82.389,,,,,,
Auparoparo,matawan,17978,18.2,10mm,1,IMG_5046.jpg,485,182.849,29.529,247.394,-0.474,484.017,1.358733268,1.013208214,1.341020779,1.801642262,1.084173991,1.661764881
,,,,finger,2,IMG_5046.jpg,67,138.061,76.949,243.63,151.876,65.765,,,,,,
,,,,toe,3,IMG_5046.jpg,50,105.181,68,126.265,-163.413,49.041,,,,,,
,,,,10mm,16,IMG_5057.jpg,777,194.059,41.356,251.79,3.991,775.881,,,,,,
,,,,anterior width,17,IMG_5057.jpg,141,135.847,104.621,157.912,160.787,139.786,,,,,,
,,,,posterior width,18,IMG_5057.jpg,85,116.414,91,130,161.996,84.119,,,,,,
Auparoparo,matawan,17980,19.7,10mm,4,IMG_5050.jpg,533,175.596,44.607,234.749,179.138,532.06,1.212231703,1.048471977,1.15618894,1.656973643,1.275244183,1.299338327
,,,,finger,5,IMG_5050.jpg,65,111.517,67.75,162.667,-172.875,64.498,,,,,,
,,,,toe,6,IMG_5050.jpg,57,106.245,84.967,160,165.466,55.785,,,,,,
,,,,10mm,1,IMG_5060.jpg,629,33.808,12.527,65.686,-88.905,628.115,,,,,,
,,,,anterior width,2,IMG_5060.jpg,105,131.01,100.077,153.09,-87.797,104.077,,,,,,
,,,,posterior width,3,IMG_5060.jpg,81,137.401,123.133,151.133,-92.862,80.1,,,,,,
Auparoparo,matawan,17984,17.5,10mm,7,IMG_5051.jpg,491,184.666,26.571,244.495,-1.637,490.2,1.113606691,0.9691554468,1.149048581,1.783905023,1.117952374,1.595689642
,,,,finger,8,IMG_5051.jpg,56,105.946,78.139,129.747,-171.573,54.589,,,,,,
,,,,toe,9,IMG_5051.jpg,49,117.423,103.479,153.333,-40.732,47.508,,,,,,
,,,,10mm,4,IMG_5062.jpg,596,102.557,46.053,154.725,-92.891,594.757,,,,,,
,,,,anterior width,5,IMG_5062.jpg,107,80.618,58.417,123.443,-101.416,106.099,,,,,,
,,,,posterior width,6,IMG_5062.jpg,67,97.336,78.083,120.509,-102.155,66.491,,,,,,
Auparoparo,matawan,17979,18.4,10mm,10,IMG_5053.jpg,544,178.65,33.611,240.079,-0.95,543.075,1.263048382,1.030667956,1.22546585,1.469490087,1.169594151,1.256410256
,,,,finger,11,IMG_5053.jpg,70,123.269,91.863,160.824,-172.461,68.593,,,,,,
,,,,toe,12,IMG_5053.jpg,57,108.351,87.792,144.833,-41.379,55.973,,,,,,
,,,,10mm,7,IMG_5066.jpg,668,133.253,28.193,212.341,-83.802,666.898,,,,,,
,,,,anterior width,8,IMG_5066.jpg,99,135.236,122,148.667,-90,98,,,,,,
,,,,posterior width,9,IMG_5066.jpg,79,119.059,93.667,146.333,-90,78,,,,,,
Auparoparo,matawan,17983,17.4,10mm,13,IMG_5054.jpg,559,165.984,44.376,223.839,-179.384,558.032,1.108305617,0.9125283138,1.214543812,1.469490087,1.169594151,1.256410256
,,,,finger,14,IMG_5054.jpg,63,97.872,79.369,186.667,-165.964,61.847,,,,,,
,,,,toe,15,IMG_5054.jpg,52,115.335,83.745,233.163,160.498,50.922,,,,,,
,,,,10mm,7,IMG_5066.jpg,668,133.253,28.193,212.341,-83.802,666.898,,,,,,
,,,,anterior width,8,IMG_5066.jpg,99,135.236,122,148.667,-90,98,,,,,,
,,,,posterior width,9,IMG_5066.jpg,79,119.059,93.667,146.333,-90,78,,,,,,
Auparoparo,ezra,20473,23.3,10mm,1,IMG_5097.jpg,520,191.928,30,250,0,519,2.023025048,1.375722543,1.470518207,1.883498214,1.140876296,1.650922383
,,,,finger,2,IMG_5097.jpg,106,117.399,53.378,169.627,162.255,104.995,,,,,,
,,,,toe,3,IMG_5097.jpg,72,127.83,89.552,188.637,37.03,71.4,,,,,,
,,,,10mm,16,IMG_5102.jpg,615,209.958,116.498,250.99,-4.485,613.879,,,,,,
,,,,anterior width,17,IMG_5102.jpg,117,139.579,125.191,151.494,-5.957,115.624,,,,,,
,,,,posterior width,18,IMG_5102.jpg,71,152.357,140.517,159.961,-9.866,70.036,,,,,,
Auparoparo,ezra,20472,23.1,10mm,4,IMG_5098.jpg,471,170.722,15.058,231.498,0.244,470.004,1.65573059,1.168458141,1.417021742,1.967435754,1.297813267,1.515962122
,,,,finger,5,IMG_5098.jpg,79,100.647,88.345,137,-154.093,77.82,,,,,,
,,,,toe,6,IMG_5098.jpg,56,73.857,55.672,93.743,169.509,54.918,,,,,,
,,,,10mm,19,IMG_5105.jpg,466,185.818,19.973,250.691,-2.961,464.62,,,,,,
,,,,anterior width,20,IMG_5105.jpg,92,179.924,158.93,190.504,-10.081,91.411,,,,,,
,,,,posterior width,21,IMG_5105.jpg,61,192.972,183.667,196.667,-5.711,60.299,,,,,,
Auparoparo,ezra,20467,25.1,10mm,7,IMG_5099.jpg,461,167.039,21.884,231.212,-0.996,460.07,1.849457691,1.500880301,1.232248628,2.376427309,1.693597216,1.403183287
,,,,finger,8,IMG_5099.jpg,86,126.67,109,137.787,-29.578,85.088,,,,,,
,,,,toe,9,IMG_5099.jpg,70,176.319,127,208.938,-169.992,69.051,,,,,,
,,,,10mm,22,IMG_5109.jpg,655,189.35,14.385,251.936,-0.526,654.028,,,,,,
,,,,anterior width,23,IMG_5109.jpg,156,153.735,122.174,179.023,-7.765,155.425,,,,,,
,,,,posterior width,24,IMG_5109.jpg,112,192.043,183.145,200.358,-6.74,110.766,,,,,,
Auparoparo,ezra,20486,26.1,10mm,10,IMG_5100.jpg,451,168.179,6.24,223,1.528,450.16,1.766283099,1.337480007,1.320605235,2.336082096,1.667249738,1.401159073
,,,,finger,11,IMG_5100.jpg,81,92.807,15.961,109.025,-6.499,79.511,,,,,,
,,,,toe,12,IMG_5100.jpg,61,109.868,78.333,130.167,175.236,60.208,,,,,,
,,,,10mm,25,IMG_5111.jpg,601,197.49,45.287,247,-1.718,600.27,,,,,,
,,,,anterior width,26,IMG_5111.jpg,141,154.596,125.848,176.924,-3.27,140.228,,,,,,
,,,,posterior width,27,IMG_5111.jpg,101,184.079,162.68,194.187,-2.291,100.08,,,,,,
Auparoparo,ezra,20469,25.2,10mm,13,IMG_5101.jpg,427,163.468,14.333,230.634,1.076,426.075,1.793580942,1.1951417,1.500726601,1.943126886,1.394053486,1.393868245
,,,,finger,14,IMG_5101.jpg,77,111.337,85.632,159.333,-6.009,76.42,,,,,,
,,,,toe,15,IMG_5101.jpg,52,106.298,85.667,123.059,-19.502,50.922,,,,,,
,,,,10mm,28,IMG_5113.jpg,530,178.713,27.256,251.002,-2.603,528.545,,,,,,
,,,,anterior width,29,IMG_5113.jpg,104,132.091,101,148.65,-6.71,102.703,,,,,,
,,,,posterior width,30,IMG_5113.jpg,75,182.393,156,197.396,-7.8,73.682,,,,,,